N,trial,sum_abs_f,max_abs_f,n_active,mean_f,lam
50,2,13.955952727259643,0.9648328501599303,48,0.08478786699413388,0.22529271681984067
50,3,16.976733711730844,1.2342612791505916,50,0.0754203476385643,0.20557593218016382
50,4,16.79842316351893,1.2410106543330497,49,0.10978309964598346,0.21983801660655197
50,5,14.521617923052256,0.9838031572970642,50,0.09710484898609244,0.22510006498939947
50,6,17.361238766515196,1.2772694746403175,48,0.08499052134169473,0.20256214648701015
50,7,13.150265550703107,0.944703486967747,49,0.08342625787313175,0.231019215068235
50,8,16.223932315992425,1.3279476828840835,50,0.098935623449457,0.22842117626651653
50,9,15.483400431742597,1.1090901236513617,49,0.10855093668315322,0.20628190712295844
50,10,16.332372467612927,1.271147223737939,49,0.0970999296466212,0.21256203967148107
50,11,13.154522189343597,0.8716764602003332,49,0.08598231078241614,0.2158816925885681
50,12,16.19520376696141,0.9719075521585948,50,0.10301646582330568,0.22443017038264754
50,13,16.184271568891138,1.109400364601099,48,0.08079078338373862,0.20921594752977987
50,14,17.737584801662557,1.3516956599743801,49,0.13761596190761455,0.22480916680475263
50,15,15.32759281586467,1.4164205647997579,50,0.0919292503650822,0.19752363204009118
