date,n_nodes,n_edges,density,n_triangles,n_4cliques,avg_clustering,transitivity,triangles_per_node,panic,pre_panic,normal
2022-11-25,80,846,0.26772151898734176,5016,378,0.6349254815352918,0.5903491565319733,62.7,0,0,1
2022-12-02,80,834,0.2639240506329114,5015,353,0.6391381785250164,0.6023059369870691,62.6875,0,0,1
2022-12-09,80,826,0.26139240506329114,5108,326,0.619653019575909,0.6137947608747897,63.85,0,0,1
2022-12-16,80,819,0.2591772151898734,4924,292,0.6133708388605368,0.603234237177393,61.55,0,0,1
2022-12-23,80,593,0.18765822784810127,2772,213,0.5812352846625316,0.5679939894815927,34.65,0,0,1
2022-12-30,80,634,0.20063291139240505,3375,215,0.5935579386002067,0.607451403887689,42.1875,0,0,1
2023-01-09,80,416,0.13164556962025317,1416,158,0.47108201947879164,0.5414223808309967,17.7,0,0,1
2023-01-16,80,420,0.13291139240506328,1287,146,0.4443857867542504,0.5075588273958196,16.0875,0,0,1
2023-02-02,80,404,0.12784810126582277,1268,140,0.4641227395707556,0.5179738562091504,15.85,0,0,1
2023-02-09,80,405,0.1281645569620253,1514,111,0.4835876003999702,0.5816365731847868,18.925,0,0,1
2023-02-16,80,404,0.12784810126582277,1387,89,0.4695492686210475,0.541938004688721,17.3375,0,0,1
2023-02-23,80,441,0.13955696202531645,1530,98,0.46791828391054197,0.5264365179493061,19.125,0,0,1
2023-03-06,80,377,0.11930379746835443,1086,111,0.44174543128242316,0.480814639905549,13.575,0,0,1
2023-03-13,80,370,0.11708860759493671,1030,84,0.4697033376675269,0.47118023787740165,12.875,0,0,1
2023-03-20,80,331,0.10474683544303798,703,81,0.42993314674488425,0.417458432304038,8.7875,0,0,1
2023-03-27,80,292,0.09240506329113925,577,72,0.40366718812101476,0.4160057678442682,7.2125,0,0,1
2023-04-06,80,223,0.07056962025316456,361,36,0.4040856776538127,0.3921071687183201,4.5125,0,0,1
2023-04-13,80,166,0.052531645569620256,198,34,0.29638424548447767,0.35891238670694864,2.475,0,0,1
2023-04-20,80,180,0.056962025316455694,258,36,0.3712023596156723,0.3915022761760243,3.225,0,0,1
2023-04-27,80,195,0.061708860759493674,232,36,0.3346025163991495,0.3413437959784208,2.9,0,0,1
2023-05-05,80,168,0.053164556962025315,181,22,0.32383329089211443,0.3349784083898828,2.2625,0,0,1
2023-05-12,80,142,0.04493670886075949,106,19,0.33137040043290045,0.2787028921998247,1.325,0,0,1
2023-05-19,80,168,0.053164556962025315,176,30,0.39231499906903133,0.3363057324840764,2.2,0,0,1
2023-05-26,80,143,0.045253164556962024,108,15,0.2710789442039442,0.31702544031311153,1.35,0,0,1
2023-06-02,80,137,0.04335443037974684,97,19,0.3298211127952507,0.29275653923541245,1.2125,0,0,1
2023-06-09,80,115,0.03639240506329114,56,6,0.33377579365079363,0.2507462686567164,0.7,0,0,1
2023-06-16,80,116,0.03670886075949367,66,7,0.2823756105006105,0.25647668393782386,0.825,0,0,1
2023-06-27,80,111,0.03512658227848101,61,9,0.2574800018821758,0.28328173374613,0.7625,0,0,1
2023-07-04,80,118,0.03734177215189873,79,12,0.27148962450592884,0.31684491978609625,0.9875,0,0,1
2023-07-11,80,127,0.04018987341772152,93,20,0.31143315018315015,0.31995412844036697,1.1625,0,0,1
2023-07-18,80,102,0.032278481012658226,61,9,0.2993903318903319,0.30398671096345514,0.7625,0,0,1
2023-07-25,80,63,0.019936708860759492,28,3,0.22035714285714286,0.4329896907216495,0.35,0,0,1
2023-08-01,80,74,0.02341772151898734,56,4,0.31900793650793646,0.5894736842105263,0.7,0,0,1
2023-08-09,80,89,0.028164556962025317,67,5,0.31075892857142856,0.4589041095890411,0.8375,0,0,1
2023-08-16,80,108,0.03417721518987342,107,10,0.3493849206349206,0.4585714285714286,1.3375,0,0,1
2023-08-23,80,108,0.03417721518987342,107,6,0.3647916666666667,0.4645441389290883,1.3375,0,0,1
2023-08-30,80,121,0.03829113924050633,128,8,0.35729758767802244,0.4485981308411215,1.6,0,0,1
2023-09-06,80,111,0.03512658227848101,117,10,0.3217460317460318,0.468,1.4625,0,0,1
2023-09-13,80,119,0.037658227848101265,144,11,0.3228699078699079,0.4897959183673469,1.8,0,0,1
2023-09-20,80,133,0.04208860759493671,173,10,0.3542482487319444,0.5014492753623189,2.1625,0,0,1
2023-09-27,80,126,0.039873417721518985,161,13,0.3393104118104118,0.5171306209850107,2.0125,0,0,1
2023-10-05,80,142,0.04493670886075949,186,25,0.3859247334790813,0.5,2.325,0,0,1
2023-10-16,80,142,0.04493670886075949,201,17,0.378895202020202,0.5646067415730337,2.5125,0,0,1
2023-10-23,80,170,0.05379746835443038,265,26,0.35674885939224177,0.5129032258064516,3.3125,0,0,1
2023-10-30,80,215,0.0680379746835443,479,45,0.39463054498628186,0.5745701719312275,5.9875,0,0,1
2023-11-06,80,231,0.07310126582278481,477,48,0.4033112408213828,0.5337560611712048,5.9625,0,0,1
2023-11-13,80,194,0.06139240506329114,350,40,0.3499384898727004,0.522128294380905,4.375,0,0,1
2023-11-20,80,193,0.06107594936708861,303,44,0.4065257164437262,0.45518277416124187,3.7875,0,0,1
2023-11-27,80,178,0.056329113924050635,261,40,0.3240655232448711,0.48007357449417537,3.2625,0,0,1
2023-12-04,80,200,0.06329113924050633,330,24,0.44071355768414594,0.49974760222110043,4.125,0,0,1
2023-12-11,80,193,0.06107594936708861,260,42,0.3206340147845902,0.430939226519337,3.25,0,0,1
