expr,ic_mean_is,ic_ir_is,n_days_is,valid_frac_is,abs_ic,abs_ir
"log(ts_rank(amount, 10))",-0.008068093750330976,-0.054809725970996565,971,1.0,0.008068093750330976,0.054809725970996565
"ts_rank(ts_std(low, 10), 10)",-0.005082325454252684,-0.03563135675154294,964,0.9968976215098242,0.005082325454252684,0.03563135675154294
"delta(delta(ret, 10), 1)",-0.005898016276572652,-0.03746786518796955,964,1.0,0.005898016276572652,0.03746786518796955
"zscore_xs(delta(amount, 5))",-0.0034741521247128393,-0.023135492039255436,970,1.0,0.0034741521247128393,0.023135492039255436
"delta(ts_rank(volume, 10), 10)",-0.008632320540560288,-0.06332233120570188,961,1.0,0.008632320540560288,0.06332233120570188
"zscore_xs(delta(ret, 10))",-0.014328681451673974,-0.08566338116887759,965,1.0,0.014328681451673974,0.08566338116887759
"delta(ts_std(ret, 5), 5)",-0.000882228106449142,-0.006445829870380283,969,1.0,0.000882228106449142,0.006445829870380283
"ts_std(ts_mean(ret, 20), 20)",0.0211896569141286,0.0934235146206066,957,1.0,0.0211896569141286,0.0934235146206066
"ts_std(zscore_xs(amount), 5)",-0.004838057700172901,-0.0314910531803595,974,1.0,0.004838057700172901,0.0314910531803595
"ts_mean(ts_rank(amount, 10), 20)",-0.0004999698525959964,-0.0033816096032834382,962,1.0,0.0004999698525959964,0.0033816096032834382
"ts_std(ts_rank(open, 10), 10)",-0.0028265954042639182,-0.020648168481628697,967,1.0,0.0028265954042639182,0.020648168481628697
"delta(log(ret), 10)",-0.0025758122760287123,-0.012801552662890228,490,1.0,0.0025758122760287123,0.012801552662890228
